"user","weekday","daytime","stress","valence","arousal","n_traj","speed","accuracy","clicks","wheels"
"i6ejrlbjf0hpdbbbzpdb","Monday","afternoon",0,6,1,87,0.305788410475603,0.6528862152244,0.0187303723642889,0
"i6ejrlbjf0hpdbbbzpdb","Tuesday","morning",0,7,1,79,0.359289715756921,0.636452758701396,0.010465832136261,0
"i6ejrlbjf0hpdbbbzpdb","Tuesday","afternoon",0,7,1,23,0.38746916322582,0.694391452200294,0.0154355016538037,0
"i6ejrlbjf0hpdbbbzpdb","Friday","afternoon",0,5,5,241,0.319833357581322,0.601500932574447,0.00633431486680819,0.00897075943299322
"i6ejrlbjf0hpdbbbzpdb","Tuesday","afternoon",0,5,3,191,0.340049686706508,0.613042855312951,0.00661029976940815,0.0040847699571758
"i6ejrlbjf0hpdbbbzpdb","Wednesday","morning",0,4,3,157,0.371772847298034,0.616018661949204,0.00494281407926235,0.00735880840500044
"ih3zxmoqbd7xhl8o5hf3","Thursday","morning",1,2,5,81,0.264135725582768,0.792780077770433,0.00776001249934899,0.016509556793917
"1y0lz8rl5msoelqw3ghs","Friday","morning",0,5,5,78,0.238627493970626,0.602219555007729,0.0110565914295061,0.0151128557409225
"ih3zxmoqbd7xhl8o5hf3","Tuesday","morning",1,2,6,68,0.265079800716183,0.793244832349998,0.00933086214609829,0.023391065379945
"ih3zxmoqbd7xhl8o5hf3","Tuesday","afternoon",0,4,3,45,0.232961294622184,0.778405217601885,0.00836557565617484,0
"ih3zxmoqbd7xhl8o5hf3","Wednesday","afternoon",0,1,4,157,0.24114120430045,0.695198415128488,0.00532712581417732,0.0210846744409875
"ih3zxmoqbd7xhl8o5hf3","Friday","morning",1,3,5,121,0.193792706477066,0.67038069706542,0.00500186019594064,0.0130627092720433
"ihaxlfun63ic0ht1m5pk","Thursday","morning",0,6,2,134,0.196144786408951,0.331933171796778,0.00114121445442004,0.00249911519765401
